,loss,x1,x2,x3,x4,x5,x6
50,56.30932483911782,0.689068453012248,3,4,4,0.6202563861055768,44
51,34.322355399433754,0.6390335015797877,1,3,6,0.6833218978539632,23
52,53.49059446017637,0.7427490919282711,1,6,5,0.7478453682481002,40
53,35.18177879064272,0.6658721686781515,2,4,7,0.5159066219645623,21
54,36.620396280257424,0.7759143150546194,1,3,6,0.8444819652028057,25
55,36.17631037768774,0.6241627622652712,3,4,4,0.5521476154224675,24
56,38.44731266385101,0.8087790377158807,1,4,5,0.6385336261351248,27
57,52.231201385984576,0.5660489543679643,1,6,5,0.6651524316166146,39
58,31.533677705198464,0.7532164567643438,2,3,7,0.7804612484341228,18
59,50.271933688575,0.5441283490263634,1,4,6,0.7278053395486346,38
60,56.488861217055444,0.7861259126714887,1,4,5,0.7027353043839523,45
61,60.41973803156792,0.8347098757094777,3,6,4,0.5850281558584343,46
62,48.429070712622774,0.5984389159517493,1,4,5,0.8306317966710267,37
63,58.383243699217246,0.5146912837654302,2,3,5,0.8685524154518194,47
64,48.332711835599355,0.575682630148548,1,4,6,0.7570292054508103,36
65,52.382979169550865,0.7313966812315871,1,4,5,0.6515824883192748,41
66,29.408419832394543,0.7773265567265852,1,4,5,0.6310932756679601,18
67,40.314117936955725,0.688141022884208,1,4,5,0.6259769140715139,29
68,29.37763496822177,0.7723437651225987,1,4,5,0.6052912030991693,18
69,29.386092910110765,0.7815794835640874,1,4,5,0.6045134265466771,18
70,29.36430298227966,0.8124568760435983,1,4,5,0.5518461062360619,18
71,54.38760806936498,0.8548073211089957,1,4,5,0.5328007482559854,43
72,30.36857784726369,0.8118703774235618,1,4,5,0.5567074698401288,19
73,33.39046179039295,0.8277696932204832,1,4,5,0.5626920971724614,22
74,28.303507396293135,0.7655536160992161,1,4,5,0.5379537801939158,17
75,31.25297638110454,0.7529733510923835,1,5,7,0.500003030012157,17
76,28.41665727836235,0.8753276001390425,1,4,5,0.5413296782233067,17
77,31.313749053262626,0.800008135727707,3,6,4,0.5137409175349219,17
78,27.399009759303816,0.8718292158738524,1,3,5,0.5271805434299621,17
79,27.42146569827173,0.8834528688451003,1,3,5,0.5380128294266328,17
80,28.4480055313401,0.8628680197702406,2,3,5,0.5851375115698618,17
81,29.41758886073637,0.8895304608960253,1,3,7,0.5280583998403441,17
82,28.386025650941814,0.8470465851568957,1,3,6,0.5389790657849188,17
83,46.40551673726111,0.8856184201544653,3,3,5,0.5198983171066469,34
84,35.35613831684708,0.8455352572348829,1,3,4,0.5106030596121981,26
85,41.45472510569654,0.8662947092326708,1,3,5,0.5884303964638645,31
86,53.39530427462018,0.824754507972371,2,3,5,0.5705497666478102,42
87,26.40146951053588,0.8987744943984376,1,3,5,0.5026950161374405,16
88,42.512021923894125,0.8988698942461766,3,3,7,0.6131520296479469,28
89,44.34219456549671,0.8392766243159271,1,3,6,0.5029179411807857,33
90,26.396754756126178,0.8731157526593437,1,3,5,0.5236390034668352,16
91,26.392890490785483,0.871411371338154,2,3,4,0.5214791194473289,16
92,26.43883806692253,0.858829146537504,2,3,4,0.5800089203850259,16
93,40.461913103891405,0.8991420225427467,2,3,4,0.5627710813486553,30
94,26.31169113862743,0.791558433530568,2,3,4,0.5201327050968605,16
95,26.34566032220245,0.8213682908605866,2,3,4,0.524292031341864,16
96,26.338304039388845,0.7930767059469033,2,3,4,0.5452273334419436,16
97,26.33513806088146,0.7893008859259488,2,3,4,0.5458371749555103,16
98,26.389376124339606,0.7928774479257875,2,3,4,0.5964986764138175,16
99,45.28489366086929,0.7387417498996657,2,3,4,0.5461519109696212,35
100,44.33553894246303,0.7191034874287466,2,5,4,0.6164354550342865,32
