spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime
1.0,741.0,5.0,2.0,594.0,6.0,39.0,1.0,0.0,286.0,70.0,106.0,6.0,1719102686.0,0.72,0.71,0.0,1093906539.0,2134576085.0,43.0,1.0,903.0,0.0,40.0,2.0,298.0,2.0,248.314
0.0,0.0,6.0,3.0,582.0,7.0,47.0,1.0,1.0,341.0,70.0,95.0,7.0,1459331456.0,0.69,0.71,0.0,1436082432.0,1599638528.0,48.0,1.0,668.0,0.0,28.0,2.0,282.0,2.0,169.765
0.0,0.0,6.0,3.0,597.0,7.0,47.0,1.0,1.0,340.0,73.0,92.0,7.0,1488886400.0,0.69,0.72,0.0,1470136192.0,1592898304.0,49.0,1.0,687.0,0.0,29.0,2.0,274.0,2.0,177.75
0.0,0.0,5.0,3.0,602.0,6.0,46.0,1.0,1.0,343.0,76.0,89.0,7.0,1548129024.0,0.7,0.71,0.0,1537686784.0,1596922368.0,49.0,1.0,704.0,0.0,31.0,2.0,266.0,2.0,199.194
1.0,1012.0,6.0,3.0,685.0,7.0,38.0,1.0,1.0,350.0,110.0,41.0,6.0,1316562765.0,0.53,0.81,1.0,1282521478.0,1997483521.0,61.0,1.0,756.0,0.0,43.0,3.0,156.0,3.0,224.001
1.0,764.0,4.0,2.0,488.0,4.0,56.0,1.0,0.0,275.0,52.0,109.0,8.0,1304427901.0,0.51,0.87,0.0,1187813946.0,1930005496.0,42.0,1.0,811.0,1.0,21.0,1.0,292.0,3.0,327.862
0.0,0.0,5.0,2.0,496.0,5.0,42.0,1.0,0.0,317.0,82.0,99.0,9.0,1999293048.0,0.55,0.54,0.0,1387199574.0,1261669807.0,57.0,0.0,954.0,0.0,23.0,3.0,251.0,1.0,283.107
0.0,0.0,6.0,3.0,592.0,7.0,47.0,1.0,1.0,344.0,72.0,91.0,7.0,1485353984.0,0.69,0.71,0.0,1477914112.0,1593889792.0,48.0,0.0,694.0,0.0,29.0,2.0,276.0,2.0,174.159
0.0,0.0,6.0,3.0,602.0,7.0,47.0,1.0,1.0,343.0,73.0,89.0,7.0,1522112896.0,0.7,0.71,0.0,1489719552.0,1603575936.0,48.0,0.0,704.0,0.0,29.0,2.0,269.0,2.0,179.456
0.0,0.0,5.0,3.0,603.0,6.0,48.0,1.0,1.0,341.0,75.0,87.0,7.0,1558191744.0,0.69,0.71,0.0,1536687104.0,1607798400.0,48.0,0.0,714.0,0.0,31.0,2.0,259.0,2.0,208.418
1.0,623.0,3.0,1.0,384.0,6.0,33.0,1.0,1.0,423.0,60.0,51.0,5.0,1869998190.0,0.78,0.87,0.0,1543120164.0,1459225847.0,72.0,1.0,954.0,1.0,26.0,4.0,260.0,2.0,384.716
0.0,0.0,4.0,2.0,384.0,7.0,52.0,1.0,1.0,343.0,37.0,84.0,8.0,1313958842.0,0.71,0.88,0.0,1357240084.0,2052051818.0,25.0,0.0,736.0,0.0,22.0,3.0,320.0,3.0,217.719
0.0,0.0,6.0,3.0,583.0,4.0,55.0,0.0,0.0,210.0,113.0,119.0,5.0,1571306992.0,0.55,0.69,0.0,1654668763.0,1223001967.0,69.0,1.0,513.0,0.0,44.0,5.0,307.0,1.0,244.045
0.0,0.0,6.0,3.0,605.0,7.0,47.0,1.0,1.0,347.0,73.0,88.0,7.0,1515371904.0,0.69,0.71,0.0,1508804608.0,1602602368.0,48.0,1.0,712.0,0.0,29.0,2.0,269.0,2.0,177.808
0.0,0.0,6.0,3.0,605.0,7.0,47.0,1.0,1.0,343.0,75.0,87.0,7.0,1540032384.0,0.69,0.71,0.0,1543293824.0,1580780032.0,48.0,1.0,717.0,0.0,30.0,2.0,265.0,2.0,209.638
0.0,0.0,5.0,3.0,622.0,6.0,48.0,1.0,1.0,351.0,77.0,82.0,7.0,1538585984.0,0.7,0.71,0.0,1569399168.0,1582032128.0,48.0,1.0,723.0,0.0,30.0,2.0,260.0,2.0,203.443
0.0,0.0,6.0,3.0,725.0,7.0,39.0,0.0,1.0,269.0,43.0,113.0,6.0,1438202001.0,0.57,0.88,1.0,1330997542.0,1780183736.0,24.0,0.0,633.0,1.0,41.0,5.0,346.0,3.0,182.321
1.0,617.0,3.0,1.0,384.0,4.0,39.0,0.0,0.0,270.0,50.0,43.0,7.0,2088382545.0,0.85,0.56,1.0,1913352095.0,1587677158.0,35.0,0.0,517.0,0.0,23.0,2.0,323.0,1.0,518.647
0.0,0.0,4.0,2.0,386.0,8.0,54.0,1.0,1.0,202.0,68.0,110.0,7.0,1102067766.0,0.53,0.69,0.0,2059846246.0,1467832127.0,51.0,1.0,582.0,1.0,45.0,3.0,290.0,2.0,210.689
0.0,0.0,6.0,3.0,618.0,7.0,47.0,1.0,1.0,341.0,73.0,86.0,7.0,1556255232.0,0.69,0.71,0.0,1534476800.0,1596428672.0,48.0,0.0,711.0,0.0,30.0,2.0,265.0,2.0,177.638
0.0,0.0,6.0,3.0,615.0,7.0,47.0,1.0,1.0,349.0,76.0,85.0,7.0,1555565952.0,0.69,0.7,0.0,1542018048.0,1601670656.0,48.0,0.0,725.0,0.0,31.0,2.0,261.0,2.0,209.811
0.0,0.0,5.0,3.0,613.0,6.0,48.0,1.0,1.0,354.0,78.0,83.0,7.0,1591056896.0,0.71,0.71,0.0,1557452032.0,1583272448.0,48.0,0.0,730.0,0.0,31.0,2.0,255.0,2.0,205.862
1.0,947.0,3.0,1.0,384.0,8.0,54.0,1.0,0.0,408.0,53.0,102.0,6.0,1986551752.0,0.65,0.66,1.0,1893684971.0,1835973646.0,26.0,0.0,630.0,0.0,48.0,3.0,253.0,4.0,301.001
0.0,0.0,6.0,3.0,565.0,4.0,32.0,1.0,1.0,333.0,79.0,82.0,5.0,1622629810.0,0.56,0.76,0.0,1488062701.0,2024840290.0,34.0,0.0,843.0,0.0,33.0,4.0,167.0,4.0,236.6
1.0,871.0,5.0,2.0,586.0,6.0,55.0,0.0,1.0,295.0,89.0,99.0,6.0,1621122015.0,0.55,0.56,0.0,1388377500.0,1648301630.0,34.0,1.0,669.0,0.0,31.0,3.0,277.0,1.0,242.33
0.0,0.0,6.0,3.0,626.0,7.0,47.0,1.0,1.0,339.0,74.0,85.0,7.0,1566941184.0,0.69,0.71,0.0,1551749120.0,1604525952.0,48.0,1.0,737.0,0.0,30.0,2.0,265.0,2.0,176.665
0.0,0.0,6.0,3.0,624.0,7.0,48.0,1.0,1.0,347.0,77.0,83.0,7.0,1550479104.0,0.7,0.71,0.0,1544384640.0,1593126144.0,48.0,1.0,721.0,0.0,31.0,2.0,253.0,2.0,172.181
0.0,0.0,5.0,3.0,621.0,6.0,47.0,1.0,1.0,349.0,79.0,78.0,7.0,1644325376.0,0.7,0.7,0.0,1634650112.0,1616922624.0,48.0,1.0,729.0,0.0,31.0,2.0,261.0,2.0,197.819
1.0,865.0,3.0,1.0,384.0,6.0,37.0,1.0,0.0,477.0,107.0,83.0,7.0,2014162306.0,0.89,0.81,1.0,1492684448.0,1175691289.0,32.0,1.0,957.0,0.0,16.0,5.0,184.0,1.0,370.241
1.0,516.0,5.0,2.0,528.0,7.0,37.0,0.0,1.0,392.0,85.0,101.0,8.0,2128322730.0,0.65,0.67,0.0,2046832582.0,1671454665.0,24.0,0.0,703.0,0.0,42.0,1.0,258.0,2.0,211.148
1.0,753.0,5.0,2.0,384.0,4.0,56.0,1.0,0.0,338.0,116.0,93.0,10.0,2092344952.0,0.65,0.75,1.0,1695935645.0,2098557043.0,65.0,0.0,624.0,0.0,34.0,2.0,301.0,4.0,318.547
0.0,0.0,6.0,3.0,624.0,7.0,48.0,1.0,1.0,347.0,79.0,83.0,7.0,1547705344.0,0.7,0.71,0.0,1565083648.0,1581223040.0,48.0,0.0,718.0,0.0,31.0,2.0,252.0,2.0,175.891
0.0,0.0,6.0,3.0,625.0,7.0,48.0,1.0,1.0,350.0,80.0,80.0,7.0,1548215040.0,0.7,0.71,0.0,1564012928.0,1588399744.0,48.0,0.0,730.0,0.0,32.0,2.0,251.0,2.0,209.745
0.0,0.0,5.0,3.0,630.0,6.0,48.0,1.0,1.0,349.0,78.0,80.0,7.0,1559066112.0,0.68,0.69,0.0,1612267904.0,1623169536.0,48.0,0.0,725.0,0.0,31.0,2.0,250.0,2.0,212.265
0.0,0.0,4.0,2.0,403.0,7.0,41.0,1.0,1.0,294.0,75.0,80.0,8.0,1873601149.0,0.56,0.88,1.0,1468102701.0,1445423292.0,31.0,0.0,729.0,0.0,32.0,2.0,171.0,2.0,220.323
