,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
36,161.32  (36),161.32,55.61173947,0.979183306,0.338278732,421.9438204,3.652300629,7.989707093,3.470565012,430.879584,75.78290541,39.44500131,9.818218536,1557542783,0.787388678,0.751234674,523.9570779,0.510443252,0.130990043,2093913539,2131291613,27.80114247,0.065208817,574.5486819,0.042343202,41.26461324,1.658236243,187.5615964,0.569951578,3.393555092
37,164.06  (37),164.06,55.69040448,0.974303964,0.338956021,422.8306273,3.641758318,7.983962061,3.460012872,434.8510288,75.79988154,39.01375902,9.817587366,1561118688,0.788733387,0.747514592,525.4125774,0.513092648,0.125821961,2092613163,2131323878,27.83682797,0.057950151,576.4687136,0.042443135,41.18009813,1.66448723,187.1191535,0.567425184,3.387148714
38,163.487  (38),163.487,55.63504155,0.97874607,0.344672187,421.5559496,3.632719749,7.99959439,3.443807602,430.9044014,75.60239944,38.9792905,9.812430896,1556567466,0.785717602,0.74839844,526.6696365,0.509277055,0.127129062,2091519687,2132307831,27.59853206,0.061016913,573.5930268,0.040224404,41.23589512,1.666344795,187.6668905,0.567930496,3.376172992
39,161.251  (39),161.251,55.57472078,0.977748257,0.346084957,423.4271548,3.634690249,7.982916197,3.468808755,434.7675573,75.45120874,39.26440453,9.797839868,1555613249,0.786294065,0.751041517,524.0924855,0.509209814,0.126791862,2094115018,2136419226,27.85561092,0.071671096,573.7268454,0.043718965,41.17167825,1.690509622,186.9107906,0.567639071,3.38610024
40,165.097  (40),165.097,55.595742,0.976890314,0.347011011,420.764676,3.63208521,7.997256396,3.46738992,437.4839938,75.63627682,39.35641011,9.807090785,1559084711,0.786897773,0.749681005,526.0558248,0.512038387,0.12712653,2094049930,2139623364,27.76690451,0.061149774,575.7323345,0.040870932,41.23940346,1.672957206,187.3173962,0.568042725,3.389939653
41,159.458  (41),159.458,55.63375068,0.976491057,0.346511062,421.914087,3.628083416,7.987673245,3.478666481,434.5741286,75.69648785,39.38837863,9.832636888,1556742239,0.787461206,0.750990434,527.2633063,0.510022763,0.125637498,2091880424,2133967179,27.76249604,0.062432675,575.5780319,0.042100462,41.10244611,1.66427239,186.4424019,0.568128843,3.388022415
42,167.349  (42),167.349,55.67513377,0.979058462,0.346711216,422.3017958,3.628908826,7.999443046,3.446208951,434.6185284,75.61091029,39.27707912,9.801857188,1554821832,0.786727327,0.750588621,525.9479165,0.509774535,0.12596998,2093775416,2138656198,27.73985878,0.06271156,575.3522666,0.044397692,41.18153514,1.657420948,187.059864,0.569954365,3.390793251
43,157.548  (43),157.548,55.5858858,0.981054056,0.346385204,421.5889173,3.638114043,7.989391238,3.456717652,434.5498481,75.70198698,39.30398172,9.810281256,1555232390,0.788308115,0.749352151,526.5939468,0.508914612,0.127539208,2093984623,2134977792,27.72183723,0.06359887,573.5715875,0.041187497,41.17798572,1.682134309,187.6278188,0.568630325,3.389865055
44,163.386  (44),163.386,55.60283317,0.978307968,0.346405377,421.2218397,3.637570314,7.994670902,3.470264935,434.5445666,75.70558041,39.33726274,9.806011068,1556758167,0.786767279,0.749413812,526.2467022,0.510270491,0.127528208,2090317465,2138719497,27.73492958,0.064585515,575.8788489,0.041381954,41.26478945,1.674321229,187.317029,0.569535323,3.386610802
45,162.459  (45),162.459,55.62277868,0.978646528,0.345527058,421.752808,3.632406966,7.998795434,3.46234603,434.0768952,75.63951257,39.45486408,9.814992566,1557670796,0.786893312,0.748630281,525.5362709,0.509935914,0.127973662,2092996184,2134596106,27.7453918,0.064763381,573.858626,0.042985185,41.20226564,1.673482729,187.1998647,0.569903853,3.380466818
46,158.561  (46),158.561,55.58732144,0.97991721,0.344144509,421.6734565,3.630474108,7.992842225,3.466182038,435.1182938,75.69935205,39.43282222,9.807032963,1557277290,0.786194028,0.74843684,525.3806082,0.51039551,0.127471853,2091554926,2137724067,27.72982502,0.062784261,574.9433211,0.044572484,41.19295232,1.660975977,186.9107231,0.568236312,3.390479034
47,158.708  (47),158.708,55.54531623,0.979028226,0.346532587,422.3876438,3.632498273,7.997492196,3.45760519,434.3419568,75.63020293,39.44856999,9.809012815,1557934840,0.786914611,0.749380069,525.9971218,0.510551387,0.12770043,2092482006,2134736597,27.74586634,0.065246001,575.7487162,0.043772016,41.18158598,1.672690436,187.0285709,0.568663233,3.385879874
