spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.executor.memory,spark.executor.cores,spark.executor.memoryOverhead,spark.executor.instances,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold,runtime,∆Ê≈º
0,0,4,2,470,4,45,0,1,482,123,45,6,1830815810,0.78,0.87,0,2007003932,1324746449,40,1,947,0,28,2,228,2,353.454,≈º
1,732,6,3,744,7,39,0,0,388,112,97,9,1689036544,0.61,0.84,1,1610415616,1402654976,71,0,693,0,26,3,173,3,219.891,∆Ê
1,680,6,3,702,7,37,0,0,386,119,101,10,1655469696,0.61,0.84,1,1670121984,1500938752,63,0,667,0,26,3,183,3,220.545,≈º
1,843,6,3,634,7,57,0,0,494,98,66,8,1138870864,0.8,0.74,0,1686927681,2114483216,72,1,756,0,31,2,254,3,242.963,∆Ê
0,0,3,1,384,4,37,1,1,294,110,34,7,1358240810,0.78,0.61,1,1380205874,1107713198,42,1,998,1,45,4,316,4,636.02,≈º
1,709,7,4,877,7,32,0,0,447,128,73,10,1820644608,0.5,0.9,1,1305910144,1230286720,72,1,673,0,20,3,150,4,161.268,∆Ê
1,806,7,4,877,8,32,0,0,485,128,75,10,2085983360,0.58,0.9,1,1833982080,1073741824,72,1,663,0,20,3,208,4,161.869,≈º
1,723,4,2,384,8,49,1,1,419,46,56,7,1197599034,0.76,0.63,0,1120185610,1323533776,47,0,601,0,41,1,322,4,218.24,∆Ê
0,0,5,2,394,7,47,0,1,410,117,117,8,1777213465,0.54,0.9,0,1087550251,1353488225,59,1,741,1,44,3,224,4,270.492,≈º
1,683,7,4,722,7,40,0,0,392,107,69,8,1828919040,0.51,0.74,1,1426482944,1417626624,61,0,785,0,25,3,163,4,187.051,∆Ê
1,617,7,4,776,7,40,0,0,410,124,75,9,1816379392,0.53,0.79,1,1416449280,1303367552,59,0,758,0,25,3,158,4,160.02,≈º
1,699,3,1,384,8,41,1,1,288,56,95,7,1141372000,0.59,0.54,1,1574884748,1617981390,59,0,849,0,47,1,242,1,340.709,∆Ê
0,0,6,3,527,7,53,0,1,471,108,80,6,1425586276,0.89,0.79,0,1241570684,1717482023,52,1,545,0,26,2,237,1,185.006,≈º
1,633,6,4,780,6,43,0,0,429,108,77,8,1895305984,0.54,0.78,1,1662835456,1421709440,54,1,751,0,27,3,186,3,187.873,∆Ê
1,651,6,4,784,6,39,0,0,432,100,87,8,1846427648,0.51,0.76,1,1547823616,1452673536,54,1,744,0,29,3,179,4,182.159,≈º
