,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryMapThreshold
30,231.833   (30),231.833,43.55611085,0.45949968,0.890737325,441.6537844,2.328971902,7.606741891,6.495826442,613.6901316,73.54221647,87.4359325,4.382743997,1245314883,0.887406223,0.396651466,511.5130423,0.797191025,0.44872877,1552878088,1725226493,43.10288122,0.813379591,964.709685,0.762407525,33.61839617,2.501897037,275.4893748,2.754771584
31,186.647   (31),186.647,37.11950857,0.384233496,0.893452202,457.8421582,3.328653074,7.262175056,5.897868289,455.7939475,88.35329639,103.074963,4.822384038,1730261603,0.585807159,0.047997927,671.378897,0.89452014,0.115457863,1284902134,1669000257,64.60043399,0.402363042,735.516333,0.846295007,42.54095944,4.553596704,191.2456374,2.14416564
32,249.091   (32),249.091,44.42281624,0.351598814,0.991768762,349.124585,2.028982492,6.942490333,6.30612456,785.408491,87.29762418,56.84940991,6.502467929,1724184761,0.7349098,0.419387454,393.9597562,0.857136402,0.471639398,1877218610,1402764849,57.79517982,0.671718794,878.5615296,0.452403977,26.47930773,3.016435453,169.0178622,2.704809472
33,207.583   (33),207.583,40.15546544,0.771789531,0.63250356,250.4887473,3.336494331,7.407703353,6.95789731,633.6847813,70.00664932,127.5974904,7.266419725,1843853169,0.794236195,0.34445395,457.9378287,0.801303415,0.775028328,1567200445,1544742411,70.14670775,0.927220546,777.3642023,0.388095299,40.98672233,3.240098078,197.3709832,2.459865277
34,100000   (34),100000,49.1491267,0.273123374,0.769076089,454.4616414,1.999520272,7.318251766,6.510274768,543.8899756,58.70654353,113.7812511,4.2775248,1638810882,0.833280171,0.20531389,333.12342,0.662387274,0.499448101,1370308027,1185815590,62.25827202,0.312496488,834.0021195,0.838947323,26.84251771,3.529116968,195.2165999,3.540340497
35,177.675   (35),177.675,46.34242788,0.667887064,0.816881276,232.3215875,3.32523319,7.089887827,4.809556564,676.2626802,116.0744084,43.26645944,9.414990271,1671835615,0.632374234,0.657776015,710.3672619,0.819145697,0.326411505,1271146355,2124750538,70.5393545,0.846745524,751.2926332,0.464802668,32.47741272,2.04571843,260.4474463,2.736100275
36,184.713   (36),184.713,48.39811535,0.892042223,0.424477331,281.5110657,2.541622866,7.786775591,6.09273831,655.4840599,107.5401923,83.59235246,9.783649641,1114823088,0.720606578,0.567523532,409.6339151,0.7716252,0.398004866,1435982594,1870814159,40.29719585,0.860715676,987.1845097,0.3679364,26.68226627,2.564471012,297.3236239,3.667620858
37,223.511   (37),223.511,44.18342568,0.843835209,0.550695881,293.2631275,2.432063151,6.654155949,6.220761111,593.2264892,103.5484595,97.51126887,6.115344714,1487062591,0.596753127,0.590585047,961.3860408,0.863700417,0.224685776,1957338647,1936280466,37.11420824,0.964568552,861.48038,0.643356093,24.56339854,2.526038978,242.3630282,1.208221838
38,100000   (38),100000,36.82089576,0.907621176,0.897785714,356.1092331,1.761175148,7.522069804,6.02961775,746.3026695,97.39945331,72.62329115,8.054313074,1268896466,0.642337636,0.420728764,854.327908,0.822294712,0.542065222,1491063891,1761169595,58.20744312,0.706371501,759.1125846,0.157965378,38.929089,3.399372695,348.7430576,2.241537844
39,163.78   (39),163.78,47.62245175,0.625705701,0.355495322,364.0727675,3.692443909,6.843956706,6.007829144,763.2916613,99.06825566,86.19410348,8.147816069,1841921561,0.629787572,0.4403051,290.0921369,0.899454908,0.330819411,1119019688,1807991071,70.28880907,0.541745185,762.3001616,0.588236982,34.198399,2.174996463,216.4171973,2.739100392
40,186.602   (40),186.602,45.64057187,0.638471001,0.093888749,393.0095535,2.775381019,6.528879186,5.123168419,619.7862093,96.79913427,70.21007185,8.039272469,1928528495,0.808088164,0.678971454,569.6718526,0.885595878,0.077128316,1552036136,1822420049,40.0447504,0.759261057,973.2452302,0.582616537,24.68748058,2.616038495,296.6360697,3.185139441
41,100000   (41),100000,44.16318768,0.831047618,0.32781819,382.0757913,3.661217172,4.831701696,4.352474434,597.7556325,120.1630131,99.18292186,8.586182483,1548173353,0.733004735,0.584901038,426.2203833,0.833904137,0.47313385,1476422259,1700642012,46.84506848,0.873163143,914.4643632,0.315153597,32.12213931,3.106012239,167.0013005,3.726560665
42,201.263   (42),201.263,50.38510174,0.997764522,0.478729894,399.4526123,2.531137008,7.099707135,4.433032668,446.3282869,70.01967741,52.27787431,7.497271652,2112131718,0.606408582,0.384101485,109.2818337,0.864786961,0.347368213,1297703494,1370718967,59.90112079,0.410663016,709.1647376,0.394354699,33.13225068,2.46992132,284.5620429,2.036304768
43,179.785   (43),179.785,53.70834123,0.496545273,0.477631918,204.370229,3.948616052,7.025639532,4.835754298,724.015329,74.60207094,55.66870615,9.834855987,1690053153,0.60394259,0.492474864,383.8058982,0.768195976,0.48452457,1216266102,1637677637,51.91159988,0.662118072,761.211736,0.430292193,28.62510608,1.337188402,260.1665343,3.096773008
44,171.756   (44),171.756,62.31747645,0.492934168,0.253751092,227.8244768,3.055791479,6.771021781,5.55911576,811.4411178,59.56460524,73.99221195,6.817090298,1678424021,0.550982365,0.603403815,377.4601425,0.66734768,0.497953241,1299926057,2111235684,62.57328858,0.57607569,933.4639612,0.320340093,23.22899098,2.566648273,226.9462459,2.041534902
45,100000   (45),100000,56.84096791,0.619245252,0.159453381,320.1645695,1.358590628,6.205828338,4.676379849,694.1580473,43.07220762,78.53423411,8.947155802,1794906343,0.625240758,0.377721103,368.8298383,0.818696045,0.059899456,1280895904,1843125820,56.21109878,0.562433714,804.2183078,0.5616482,29.09505016,4.000226013,205.9560952,1.738998996
46,223.027   (46),223.027,56.15383103,0.454176552,0.531953675,346.8445255,1.882879379,7.989913811,4.122822275,532.2119367,87.1312897,42.20521859,7.82941092,1637258504,0.767035313,0.538632037,562.2273088,0.827026144,0.601279173,1151354725,1943073925,61.48762976,0.545406773,869.8671895,0.737084735,23.05646902,3.032688251,276.8904584,2.242052023
47,183.213   (47),183.213,44.60671772,0.23517705,0.793802977,304.919146,2.608198355,7.27666952,5.637974608,433.3009604,89.40015206,85.15349457,8.344071513,1704498384,0.724243784,0.347734742,585.2657059,0.878855173,0.139882184,1591219119,1686177695,56.8227878,0.190431091,720.4596216,0.324421829,37.21977408,3.265730202,232.375464,2.227650792
48,208.449   (48),208.449,51.67340315,0.62805175,0.733488735,345.5779447,2.616656337,6.393004843,5.296903863,571.1655407,73.9621857,69.46967247,7.27659251,1740837474,0.738974868,0.468267058,306.1505773,0.654877709,0.53714845,2035683557,1250018707,61.62688674,0.818514259,730.4656953,0.396899257,27.19880277,3.494813079,218.5073689,2.05987523
49,156.236   (49),156.236,58.35841492,0.717927442,0.635600681,324.555981,3.673864874,7.303638994,4.219815989,717.889071,76.06469752,69.63238738,8.06286336,1338599820,0.846778882,0.4466241,119.7351735,0.839824594,0.453887528,1306317587,1792766847,66.03925958,0.378353336,564.6927649,0.384951019,29.47532364,1.657308687,305.8801732,2.6777224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-15执行时间,不算运行失败,3863.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,算运行失败,203863.04,,,,,,,,,,,,,,,,,,,,,,,,,,
