spark.executor.memory,spark.executor.cores,spark.memory.storageFraction,spark.default.parallelism,spark.reducer.maxReqsInFlight,spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxSizeInFlight,spark.executor.instances,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.shuffle.sort.bypassMergeThreshold,spark.locality.wait,spark.memory.offHeap.size,spark.maxRemoteBlockSizeFetchToMem,spark.broadcast.blockSize,spark.storage.memoryMapThreshold,spark.reducer.maxBlocksInFlightPerAddress,spark.broadcast.compress,spark.shuffle.file.buffer,spark.scheduler.mode,spark.shuffle.compress,spark.memory.fraction,spark.broadcast.checksum,runtime
6.0,4.0,0.8428571428571429,305.0,1922917552.0,4.0,30.0,7.0,74.0,73.0,477.0,788.0,164.0,5.0,169.0,1608696616.0,40.0,4.0,2043344656.0,0.0,26.0,1.0,0.0,0.6904761904761905,1.0,223.8734
5.0,4.0,0.7412698412698413,241.0,1738465499.0,5.0,28.0,8.0,64.0,73.0,477.0,781.0,219.0,4.0,521.0,1608762158.0,36.0,4.0,1774909312.0,0.0,26.0,0.0,0.0,0.6396825396825396,1.0,223.8734
5.0,4.0,0.8936507936507936,303.0,1922655376.0,4.0,31.0,7.0,123.0,73.0,477.0,788.0,257.0,7.0,0.0,1214234982.0,39.0,4.0,2043344640.0,0.0,26.0,1.0,0.0,0.6904761904761905,1.0,223.8734
4.0,4.0,0.734920634920635,208.0,1910908106.0,5.0,28.0,8.0,62.0,61.0,492.0,756.0,220.0,4.0,769.0,1315980621.0,40.0,4.0,2056902416.0,0.0,45.0,0.0,0.0,0.665079365079365,1.0,223.8734
7.0,4.0,0.8746031746031746,266.0,1199695003.0,4.0,33.0,7.0,49.0,87.0,448.0,819.0,170.0,4.0,257.0,1315983984.0,36.0,4.0,1774909057.0,0.0,26.0,1.0,0.0,0.665079365079365,1.0,223.8734
7.0,4.0,0.6841269841269841,411.0,2075632818.0,5.0,27.0,8.0,117.0,79.0,494.0,819.0,170.0,4.0,257.0,1315983983.0,40.0,4.0,2040125200.0,0.0,29.0,0.0,0.0,0.665079365079365,1.0,223.8734
6.0,4.0,0.7857142857142857,374.0,2075632818.0,5.0,24.0,8.0,114.0,39.0,479.0,944.0,170.0,4.0,321.0,1315983983.0,40.0,4.0,2040125200.0,0.0,29.0,0.0,0.0,0.665079365079365,1.0,223.8734
5.0,4.0,0.7984126984126985,421.0,1906063160.0,5.0,55.0,5.0,111.0,75.0,479.0,976.0,170.0,7.0,769.0,1315985009.0,39.0,4.0,2045703935.0,0.0,25.0,1.0,0.0,0.665079365079365,1.0,223.8734
5.0,4.0,0.7095238095238096,390.0,1535373194.0,4.0,28.0,8.0,41.0,39.0,480.0,971.0,214.0,7.0,417.0,1340268811.0,62.0,4.0,2045704064.0,0.0,26.0,1.0,0.0,0.6904761904761905,1.0,223.8734
5.0,4.0,0.6714285714285715,350.0,1818154939.0,5.0,56.0,5.0,59.0,49.0,492.0,788.0,189.0,6.0,161.0,1340268811.0,56.0,4.0,2057295632.0,0.0,44.0,0.0,0.0,0.6904761904761905,1.0,223.8734
