,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
11,283.295,2.807776305,0.21941302,0.816683288,456.1394438,6.123445588,11.54205131,13.39111695,1051.511453,66.31234241,95.18915629,6.246039838,1652256448,0.796273311,0.634116668,860.490315,0.5016238,0.398540729,1243467763,1424239721,66.14177778,0.094172409,557.7451317,0.224950559,18.22804009,3.283270303,111.2315356,0.809558869,5.71593159
12,290.456,6.523502613,0.084481847,0.755666266,466.8028457,6.663616525,11.27569415,13.75734416,1029.154711,109.5190435,96.16287088,7.952914191,1922602418,0.871009275,0.814629507,589.3552903,0.534553772,0.354289579,2052681528,1840356339,48.67530797,0.395198972,573.5710496,0.032466377,37.31067115,2.575778612,103.9344029,0.85762467,2.201994311
13,285.877,47.83435419,0.108654631,0.557010824,403.5577325,6.28418965,11.61856528,13.55753354,690.6102004,65.30153955,79.12771318,1.991505341,1477281600,0.840310136,0.69771015,852.9257362,0.521933266,0.531787068,1793254759,1927079548,69.73072257,0.15686816,553.8886989,0.084338674,36.33490493,4.235558819,143.6088661,0.881056759,4.377480383
14,270.585,36.27207987,0.60725752,0.702669324,439.9579575,5.171459323,13.6003378,13.69888165,1750.78635,102.7310555,74.67444443,3.411328381,2143858361,0.85204781,0.367344718,477.7521221,0.644789011,0.244748423,1084755031,1587284130,71.79787467,0.909084112,570.1010933,0.703416433,20.86459205,4.253254643,147.6789597,0.746078238,4.069493944
15,272.525,45.92359732,0.163422212,0.330167836,490.178221,6.62358034,12.88724216,12.28244144,412.6763774,45.36262461,85.73444513,8.069066536,1852199087,0.87431932,0.705559686,833.2474862,0.78597816,0.44268393,1435492765,1747555196,54.44646307,0.402590672,542.3086612,0.588165716,34.47526733,3.101493487,166.9679984,0.865061767,5.058373901
16,273.052,3.277579995,0.290537394,0.983042322,408.6042289,6.714557206,12.6804966,13.04096065,591.2309682,85.3186572,38.71076514,4.547062372,1870360830,0.868471502,0.856398223,987.6458514,0.553409585,0.672662033,1135930986,2050780527,36.72839674,0.525809192,509.4508315,0.674742112,20.91077189,1.193347061,278.2419897,0.799861574,4.648126339
17,287.763,29.53048472,0.477836697,0.428801397,207.5429659,6.508273136,12.56852934,13.94128114,861.2649483,102.5828999,60.46102954,5.943220542,1517149375,0.858900438,0.264455602,996.7116621,0.608679485,0.199256873,1437444289,1262965391,60.38619473,0.86078548,546.4509473,0.928851946,44.23914315,1.929650864,232.9048037,0.61593101,8.211274373
18,284.331,5.525957735,0.17961152,0.341119032,450.0393188,6.745717218,10.3167535,11.14851296,1038.901882,113.5757857,45.72519438,6.833523968,1909279654,0.746122978,0.010813721,909.687578,0.520084899,0.122634724,1168406678,2027716100,54.84648889,0.391840895,529.734427,0.556283485,31.11448696,4.354230158,116.1402909,0.75046546,3.021308636
19,273.271,41.21633055,0.36264414,0.737589819,210.6278955,5.977201806,10.42754197,13.48617833,1392.384323,81.53878579,104.0354739,4.416679913,2099193261,0.872677015,0.440294045,839.6984106,0.733934963,0.18461069,1328604861,2106612613,31.25168048,0.464175569,547.8256837,0.769578797,28.60908712,4.402842327,248.6703416,0.722395788,9.032124017
20,255.156,22.94439462,0.141733996,0.337430084,258.7204048,6.496027497,12.36449173,13.15770585,1328.050269,118.2585152,113.3550619,5.46995627,1826244257,0.816304079,0.612667939,974.4599488,0.717710343,0.180912796,1432791690,2069333993,49.0015403,0.787079481,538.80512,0.966540707,30.23154312,3.48483442,187.772552,0.820621527,7.861944389
