,,target,spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.default.parallelism,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.scheduler.revive.interval,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.sort.bypassMergeThreshold,spark.storage.memoryFraction,spark.storage.memoryMapThreshold
27,282.787  (27),282.787,40.3481251,0.065769977,0.072021199,324.3456508,5.11405043,10.60680153,11.81851777,539.4288351,79.40783418,33.04091596,4.129469979,1262302918,0.705912652,0.022269588,118.0697782,0.538022853,0.918501564,1210966733,1708760553,50.87825156,0.995580629,929.6708469,0.014120003,31.41391247,2.031896951,335.33442,0.655539769,1.184158377
28,283.784  (28),283.784,40.66190127,0.064029521,0.068075327,324.6161649,5.131812031,10.61042749,11.86978962,530.4796876,79.42570768,32.47771455,4.201280823,1259327162,0.705096203,0.039090076,114.6139579,0.547582793,0.917412131,1206905551,1706835793,50.86512546,0.988657366,931.940149,0.011816734,31.47065714,2.059436565,334.3974757,0.652195028,1.123890147
29,311.684  (29),311.684,40.43850555,0.067554031,0.074879609,324.4900224,5.102314046,10.60637193,11.82345869,548.1946521,79.4296387,32.0979462,4.110846015,1270068283,0.70289608,0.025564556,118.8634854,0.540164045,0.928693716,1216919443,1692159093,50.85164607,0.987317622,933.6829554,0.010528256,31.4222902,2.068725321,335.2796154,0.652758334,1.05863441
30,302.739  (30),302.739,40.50692709,0.063783451,0.069207195,324.4878936,5.132568781,10.61106676,11.84971597,531.3473584,79.42395528,33.12652763,4.183554129,1265968053,0.70305926,0.038330665,119.9942112,0.537924207,0.918381673,1204149222,1700590111,50.87861104,0.997490728,932.6109082,0.037708853,31.48310341,2.06848959,335.3041593,0.653037252,1.28527018
31,285.998  (31),285.998,40.33750087,0.067010927,0.073877357,324.3421076,5.095845147,10.60956316,11.87239392,534.1151671,79.43333121,32.50262378,4.155345969,1262888196,0.700528215,0.034322422,118.1286344,0.54131564,0.918447221,1206110435,1696354307,50.87917162,0.991448167,929.4416871,0.013794299,31.56578097,2.070048665,335.05182,0.65290406,1.190407535
32,296.412  (32),296.412,40.60835842,0.064936582,0.074987061,324.6077787,5.115498415,10.61001419,11.88272679,557.5493465,79.42920963,33.01527738,4.157855967,1264100675,0.701939217,0.04145068,116.0278636,0.540471742,0.921994768,1212191648,1706402730,50.8833629,0.9949815,931.6485846,0.025814496,31.52840932,2.118454546,334.9836623,0.652972414,1.328452642
33,285.618  (33),285.618,40.62465271,0.067717247,0.072842918,324.3930564,5.12029682,10.60952738,11.83328222,534.9294193,79.43154378,32.43934957,4.089648106,1264609222,0.702027419,0.03168336,120.9376799,0.544667896,0.923529995,1214577021,1704751001,50.85782661,0.993748338,932.8183292,0.024960938,31.39034056,2.07900483,335.6346538,0.65337049,1.201475593
34,352.822  (34),352.822,40.44298218,0.067879713,0.073033564,324.5676778,5.125184477,10.60860218,11.83179907,539.0391224,79.42386079,32.09129814,4.174114792,1269246963,0.701412737,0.026176144,117.3204515,0.537182845,0.920578043,1213158900,1703811079,50.84760348,0.998786755,931.8711199,0.023216227,31.39258142,2.059171501,334.8111067,0.652408033,1.216016939
35,345.37  (35),345.37,40.34769542,0.068288017,0.077337008,324.4522677,5.117648075,10.60853195,11.84260832,553.476931,79.43308445,32.44479648,4.178195159,1271219774,0.702577711,0.038097461,118.8590756,0.53838872,0.919758805,1209988211,1701321350,50.88405326,0.995774212,930.3895072,0.027226097,31.40619589,2.070858533,335.4272904,0.652766666,1.101338874
36,276.388  (36),276.388,40.55148975,0.067930781,0.07467395,324.4057786,5.118530914,10.6097727,11.85919521,531.7566334,79.4378113,32.52913453,4.168531259,1268654242,0.701636238,0.028606097,120.1118902,0.536891503,0.921897638,1213288049,1703647152,50.86493932,0.997183287,930.7193935,0.021963524,31.44375781,2.076370632,335.6353937,0.653076339,1.103272058
37,349.075  (37),349.075,40.21916497,0.070803229,0.072185606,324.3331856,5.103679734,10.60756388,11.80921132,532.3807809,79.4218202,32,4.095705401,1264779306,0.699350455,0.041619143,115.956343,0.535985471,0.913152865,1208543743,1696440333,50.84621632,1,927.86134,0.032096332,31.36216767,2.056213144,334.7357297,0.652091444,1.067589103
38,290.527  (38),290.527,40.40187089,0.068677628,0.073204118,324.477436,5.126496181,10.60831571,11.82919531,540.1744998,79.43070633,32.40661937,4.161776207,1270635262,0.701167956,0.027360691,119.2739921,0.539356343,0.92209808,1210323551,1702915385,50.87034424,0.99672534,930.6950809,0.022402351,31.47683283,2.076915039,335.1772434,0.65280518,1.15144857
39,283.438  (39),283.438,40.25281048,0.066074782,0.082694262,324.3610003,5.106165724,10.6079059,11.81558577,535.0361714,79.42359483,32,4.107920061,1265467057,0.699733498,0.040037939,116.7094752,0.536686621,0.914209606,1209358508,1697400412,50.85049676,0.99292011,928.2788315,0.017876591,31.37986543,2.061110711,334.8262959,0.652303892,1.090882301
40,278.254  (40),278.254,40.33003039,0.068149708,0.076291694,324.4334304,5.116998609,10.60884185,11.85116542,550.9914246,79.43251561,32.21390249,4.172567334,1266225973,0.701066648,0.032137546,118.4145835,0.540657524,0.920997384,1212533558,1701946936,50.86862359,0.995055275,931.31783,0.021513822,31.46607434,2.098375406,335.2409553,0.653146776,1.230343277
41,295.896  (41),295.896,40.28006335,0.069904824,0.081800736,324.3835302,5.108179376,10.60818295,11.82074907,537.1870378,79.42503228,32,4.117813936,1266024136,0.700043762,0.038757164,117.3195124,0.537254553,0.915065566,1210018467,1698178076,50.85396391,0.994265289,928.6169996,0.029394582,31.39420061,2.06507774,334.8996545,0.652475975,1.109749791
42,288.213  (42),288.213,40.29168168,0.069733425,0.074563175,324.3931351,5.109037827,10.60830105,11.82295027,538.103986,79.42564509,32,4.12203185,1266261628,0.702556907,0.038211149,117.5795808,0.537496671,0.915430476,1210299818,1698509606,50.85544201,1,928.7611661,0.028879136,31.40031192,2.066768947,334.9309284,0.653869848,1.1177933
43,297.449  (43),297.449,40.30213817,0.06680249,0.074906007,324.4017795,5.109810433,10.60840735,11.82493134,538.9292395,79.42619661,32,4.125827974,1266475370,0.700295077,0.037719736,117.8136424,0.541636893,0.915758894,1210553034,1698807983,50.8567723,0.995354884,928.8909158,0.020065009,31.4058121,2.068291034,334.9590749,0.653803822,1.125032458
44,270.003  (44),270.003,40.31154902,0.069440331,0.080768431,324.4095594,5.110505779,10.60850302,11.82671431,539.6719676,79.42669299,32,4.129244485,1266667738,0.700402216,0.029316571,118.0242979,0.537910693,0.92137485,1210780928,1699076523,50.85796957,0.995819396,929.0076906,0.020482521,31.41076226,2.069660912,334.9844068,0.652674785,1.131547701
45,319.717  (45),319.717,40.23955605,0.070502409,0.083128828,324.3500429,5.105186385,10.60777117,11.81307459,533.9900976,79.42289573,32,4.103108175,1265196122,0.6995826,0.025933191,116.4127837,0.536410408,0.923636012,1209037537,1697022195,50.84881051,0.992265883,928.1143634,0.01728856,31.37289351,2.059181346,334.7906179,0.6522202,1.081706097
46,274.523  (46),274.523,40.26474657,0.069729061,0.079546411,324.3961278,5.107248168,10.60847687,11.82677733,537.0847267,79.42632833,32.11451572,4.121221808,1266797164,0.700971349,0.027857101,118.5620744,0.537524283,0.919995457,1209506959,1698181311,50.8538379,0.994922532,929.0338887,0.019859949,31.39973294,2.067911257,335.078822,0.65250027,1.130923628
47,283.775  (47),283.775,40.31941489,0.068955515,0.079297143,324.4280064,5.111940141,10.60862327,11.83689431,541.8792832,79.42755405,32.14655022,4.144179651,1266804340,0.700459426,0.027651352,118.6687389,0.538195602,0.921768836,1211187897,1700452654,50.86127816,0.996482414,928.9533509,0.020465408,31.42000332,2.066291346,334.9319101,0.652540494,1.145434132
48,284.963  (48),284.963,40.29411782,0.069477496,0.081077574,324.4189097,5.109723614,10.60839562,11.82665981,536.7927749,79.42799419,32.03823602,4.132733303,1265681295,0.700735951,0.029726615,117.616558,0.537759265,0.920761402,1210053486,1698360533,50.8586326,0.996594223,929.1611374,0.019117677,31.4322227,2.067683187,335.0202618,0.652693339,1.136507036
49,327.094  (49),327.094,40.26431443,0.070137161,0.079219774,324.3705106,5.107015724,10.60802285,11.81776529,535.9440927,79.4242016,32,4.112096452,1265702211,0.699864466,0.031536406,116.9669834,0.536926356,0.919891303,1209637089,1697728679,50.85196031,0.993487936,928.4215787,0.018386963,31.38591658,2.062785269,334.8572619,0.652376532,1.098846624
50,298.083  (50),298.083,40.30278006,0.06939455,0.080142629,324.3998848,5.110876181,10.60848962,11.83101698,540.7976189,79.42680731,32.09239072,4.136630803,1266549641,0.700176037,0.029087358,118.1016434,0.538129709,0.921913019,1210593892,1699830561,50.85752787,0.99474745,929.1990705,0.021899879,31.41107884,2.070522265,335.090454,0.652556745,1.146086737
